Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2019,Q1,Traffic,Serious,32.53
Female,2019,Q1,Fire,Slight,64.28
Female,2018,Q4,Traffic,Serious,65.6
Female,2018,Q4,Fire,Slight,34.07
Female,2021,Q1,Traffic,Serious,32.62
Female,2021,Q1,Fire,Slight,71.07
Female,2019,Q4,Traffic,Serious,40.91
Female,2019,Q4,Fire,Slight,12.48
Female,2018,Q1,Traffic,Serious,13.23
Female,2018,Q1,Fire,Slight,45.74
Female,2021,Q4,Traffic,Serious,87.09
Female,2021,Q4,Fire,Slight,95.4
