Quarter,Month,Production_Apartment,Production_Hospital,Production_Workshop,Residential_Administration,Residential_House,Service_Factory,Service_Hotel
Minimum,,89.53,41.74,3.13,37.02,78.15,26.05,67.61
,  ,89.53,41.74,3.13,37.02,78.15,26.05,67.61
Q1,,89.53,47.96,10.66,39.76,80.59,27.56,70.02
,  December,99.83,64.01,26.00,44.66,90.97,33.93,77.97
,  February,96.52,54.00,19.77,42.85,84.76,27.56,73.53
,  September,89.53,47.96,10.66,39.76,80.59,29.21,70.02
Q3,,90.98,41.74,4.81,37.11,79.29,28.00,72.29
,  December,92.08,47.62,4.81,37.11,79.29,28.00,90.68
,  March,90.98,41.74,12.08,41.79,84.65,30.24,72.30
,  November,97.14,63.73,23.71,44.27,89.76,33.02,72.29
Q4,,91.25,45.36,3.13,37.02,78.15,26.05,67.61
,  August,93.73,45.36,12.26,40.99,80.01,29.58,90.36
,  January,97.00,58.99,22.85,42.79,86.53,33.19,73.65
,  November,91.25,46.50,3.13,37.02,78.15,26.05,67.61
