Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Wind,Storm,0.14
2019,Temperature,Breeze,1.78
2019,Humidity,Calm,2.56
2019,Wind,31-40,3.16
2019,Temperature,11-20,3.59
2019,Humidity,21-30,5.72
2019,Wind,Medium,3.91
2019,Temperature,Low,7.37
2019,Humidity,High,8.15
2016,Wind,Storm,8.68
2016,Temperature,Breeze,10.91
2016,Humidity,Calm,8.38
2016,Wind,31-40,16.04
2016,Temperature,11-20,16.78
2016,Humidity,21-30,18.58
2016,Wind,Medium,19.54
2016,Temperature,Low,21.52
2016,Humidity,High,22.1
2021,Wind,Storm,24.73
2021,Temperature,Breeze,25.92
2021,Humidity,Calm,24.95
2021,Wind,31-40,27.07
2021,Temperature,11-20,25.27
2021,Humidity,21-30,26.04
2021,Wind,Medium,27.54
2021,Temperature,Low,25.55
2021,Humidity,High,27.6
