Quarter,Month,Production_Apartment,Production_Factory,Residential_House,Residential_Workshop,State,City
Q1,,24.08,69.60,1.94,46.82,,
,  August,28.05,77.65,4.39,60.57,Oregon,Fort Lauderdale
,  January,24.08,69.60,1.94,46.82,Florida,Fort Lauderdale
,  November,39.54,87.88,14.95,66.83,Florida,Fort Lauderdale
Q3,,26.24,72.99,2.52,50.10,,
,  February,26.24,72.99,2.52,50.10,Oregon,Tampa
,  July,28.37,82.77,5.10,63.30,Florida,Tampa
,  October,41.57,88.01,20.44,67.80,Oregon,Tampa
Q4,,26.07,74.02,3.74,54.94,,
,  December,32.43,86.51,13.79,65.60,Oregon,Portland
,  January,44.95,94.31,21.74,69.75,Florida,Portland
,  September,26.07,74.02,3.74,54.94,Florida,Portland
Minimum,,24.08,69.60,1.94,46.82,,
,  ,24.08,69.60,1.94,46.82,,
