Quarter,Month,Residential_House,Residential_Library,Service_Administration,Service_Apartment,Service_Hotel,Minimum,State,City
Q2,,62.80,24.00,2.55,84.28,38.99,2.55,,
,  April,62.80,24.00,2.55,84.28,38.99,2.55,Florida,Fort Lauderdale
,  July,81.74,33.04,19.49,96.44,50.32,19.49,Florida,Fort Lauderdale
,  November,71.18,29.12,11.56,93.19,45.83,11.56,California,Fort Lauderdale
Q3,,68.56,24.45,10.29,92.33,44.28,10.29,,
,  August,76.47,31.70,19.42,94.37,45.86,19.42,California,Malibu
,  December,68.56,24.45,10.29,92.33,44.28,10.29,Florida,Malibu
,  May,84.83,37.55,23.09,94.98,57.03,23.09,Florida,Malibu
Q4,,64.38,23.65,4.88,90.71,41.14,4.88,,
,  April,84.05,34.59,19.26,92.87,52.01,19.26,California,Tampa
,  May,64.38,23.65,4.88,90.71,41.14,4.88,California,Tampa
,  September,75.68,30.54,15.90,93.45,45.17,15.90,Florida,Tampa
Minimum,,62.80,23.65,2.55,84.28,38.99,2.55,,
,  ,62.80,23.65,2.55,84.28,38.99,2.55,,
