Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2017,Dairy,Cream,416.36
Import,2017,Beverage,Milk,323.53
Import,2017,Dairy,Cheese,580.19
Import,2017,Beverage,Coffee,764.32
Import,2017,Dairy,Juice,805.9
Import,2017,Beverage,Cream,361.64
Import,2016,Dairy,Cream,972.36
Import,2016,Beverage,Milk,751.67
Import,2016,Dairy,Cheese,115.18
Import,2016,Beverage,Coffee,20.62
Import,2016,Dairy,Juice,831.22
Import,2016,Beverage,Cream,316.42
Import,2017,Dairy,Cream,695.88
Import,2017,Beverage,Milk,566.43
Import,2017,Dairy,Cheese,854.94
Import,2017,Beverage,Coffee,534.12
Import,2017,Dairy,Juice,668.17
Import,2017,Beverage,Cream,319.48
