Characteristic,Intensity,2016_Georgia_Washington,2016_Minnesota_Minneapolis,2018_Georgia_Hastings,2018_Minnesota_Columbus,2022_Georgia_Albany,2022_Minnesota_Rochester
Temperature,,20.97,2.64,6.70,27.26,19.88,14.39
,  0-10,20.97,2.12,6.54,26.20,17.99,14.39
,  31-40,18.81,0.74,6.19,20.17,8.23,12.93
,  Storm,18.06,2.64,6.70,27.26,19.88,13.87
Wind,,20.73,4.44,11.20,27.94,19.36,13.56
,  11-20,19.05,1.30,6.05,25.20,14.98,13.08
,  Breeze,20.73,0.62,8.13,27.94,18.68,13.30
,  Calm,15.18,4.44,11.20,24.45,19.36,13.56
Maximum,,20.97,4.44,11.20,27.94,19.88,14.39
,  ,20.97,4.44,11.20,27.94,19.88,14.39
