Characteristic,Intensity,2015_Georgia_Columbia,2015_Maryland_Washington,2015_Oregon_Redmond,2017_Georgia_Salem,2017_Maryland_Aberdeen,2017_Maryland_Portland,2017_Oregon_Columbus,Maximum
Humidity,,13.35,27.09,18.68,14.15,6.26,24.19,24.33,27.09
,  0-10,10.27,27.09,15.65,9.45,1.13,19.67,19.95,27.09
,  Breeze,11.15,25.18,18.68,14.15,6.26,24.19,24.33,25.18
,  High,13.35,27.02,17.87,12.70,4.73,21.24,22.89,27.02
Temperature,,15.01,27.86,17.34,13.50,6.64,20.98,24.56,27.86
,  31-40,9.39,27.86,14.99,7.26,0.96,6.14,17.51,27.86
,  Calm,15.01,24.91,5.36,13.50,6.64,3.22,24.56,24.91
,  Medium,11.10,4.17,17.34,10.36,3.45,20.98,21.02,21.02
Wind,,11.55,27.18,17.05,14.22,5.57,25.34,24.14,27.18
,  31-40,3.26,27.18,5.11,14.22,3.37,25.34,24.14,27.18
,  Low,11.55,20.42,15.67,3.68,0.51,24.34,20.89,24.34
,  Storm,9.33,25.98,17.05,13.64,5.57,22.23,20.59,25.98
Maximum,,15.01,27.86,18.68,14.22,6.64,25.34,24.56,27.86
,  ,15.01,27.86,18.68,14.22,6.64,25.34,24.56,27.86
