State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Nevada,Reno,2018,Air,Light,-0.63
Nevada,Reno,2018,Soil,Thermal,3.9
Nevada,Reno,2018,Water,Noise,4.51
Nevada,Reno,2018,Air,Inorganic Fertilizers,8.56
Nevada,Reno,2018,Soil,Inferior Irrigation,11.76
Nevada,Reno,2018,Water,Urban Activities,14.86
Nevada,Reno,2018,Air,Surface water,16.33
Nevada,Reno,2018,Soil,Groundwater,17.78
Nevada,Reno,2018,Water,Oxygen-depletion,18.94
Michigan,Boulder City,2022,Air,Light,18.7
Michigan,Boulder City,2022,Soil,Thermal,18.18
Michigan,Boulder City,2022,Water,Noise,21.26
Michigan,Boulder City,2022,Air,Inorganic Fertilizers,16.3
Michigan,Boulder City,2022,Soil,Inferior Irrigation,25.1
Michigan,Boulder City,2022,Water,Urban Activities,25.03
Michigan,Boulder City,2022,Air,Surface water,28.54
Michigan,Boulder City,2022,Soil,Groundwater,-99.78
Michigan,Boulder City,2022,Water,Oxygen-depletion,28.24
Florida,Las Vegas,2015,Air,Light,-93.82
Florida,Las Vegas,2015,Soil,Thermal,36.12
Florida,Las Vegas,2015,Water,Noise,36.6
Florida,Las Vegas,2015,Air,Inorganic Fertilizers,-84.29
Florida,Las Vegas,2015,Soil,Inferior Irrigation,44.06
Florida,Las Vegas,2015,Water,Urban Activities,46.84
Florida,Las Vegas,2015,Air,Surface water,-81.47
Florida,Las Vegas,2015,Soil,Groundwater,-81.21
Florida,Las Vegas,2015,Water,Oxygen-depletion,50.6
Nevada,Port Huron,2020,Air,Light,51.89
Nevada,Port Huron,2020,Soil,Thermal,51.54
Nevada,Port Huron,2020,Water,Noise,52.77
Nevada,Port Huron,2020,Air,Inorganic Fertilizers,-77.91
Nevada,Port Huron,2020,Soil,Inferior Irrigation,55.68
Nevada,Port Huron,2020,Water,Urban Activities,52.47
Nevada,Port Huron,2020,Air,Surface water,58.77
Nevada,Port Huron,2020,Soil,Groundwater,-68.59
Nevada,Port Huron,2020,Water,Oxygen-depletion,-68.94
Michigan,Flint,2018,Air,Light,-63.24
Michigan,Flint,2018,Soil,Thermal,-62.5
Michigan,Flint,2018,Water,Noise,-62.39
Michigan,Flint,2018,Air,Inorganic Fertilizers,-58.41
Michigan,Flint,2018,Soil,Inferior Irrigation,70.42
Michigan,Flint,2018,Water,Urban Activities,72.33
Michigan,Flint,2018,Air,Surface water,-57.03
Michigan,Flint,2018,Soil,Groundwater,-54.08
Michigan,Flint,2018,Water,Oxygen-depletion,-57.29
Florida,Detroit,2022,Air,Light,72.06
Florida,Detroit,2022,Soil,Thermal,-51.58
Florida,Detroit,2022,Water,Noise,79.32
Florida,Detroit,2022,Air,Inorganic Fertilizers,79.0
Florida,Detroit,2022,Soil,Inferior Irrigation,-47.16
Florida,Detroit,2022,Water,Urban Activities,-46.62
Florida,Detroit,2022,Air,Surface water,81.79
Florida,Detroit,2022,Soil,Groundwater,81.25
Florida,Detroit,2022,Water,Oxygen-depletion,-49.98
Nevada,Fort Lauderdale,2015,Air,Light,87.08
Nevada,Fort Lauderdale,2015,Soil,Thermal,89.54
Nevada,Fort Lauderdale,2015,Water,Noise,-37.25
Nevada,Fort Lauderdale,2015,Air,Inorganic Fertilizers,92.98
Nevada,Fort Lauderdale,2015,Soil,Inferior Irrigation,-35.76
Nevada,Fort Lauderdale,2015,Water,Urban Activities,-34.83
Nevada,Fort Lauderdale,2015,Air,Surface water,95.69
Nevada,Fort Lauderdale,2015,Soil,Groundwater,96.96
Nevada,Fort Lauderdale,2015,Water,Oxygen-depletion,-32.24
Michigan,Tampa,2020,Air,Light,-33.95
Michigan,Tampa,2020,Soil,Thermal,99.67
Michigan,Tampa,2020,Water,Noise,99.35
Michigan,Tampa,2020,Air,Inorganic Fertilizers,-28.11
Michigan,Tampa,2020,Soil,Inferior Irrigation,93.35
Michigan,Tampa,2020,Water,Urban Activities,-21.98
Michigan,Tampa,2020,Air,Surface water,-18.03
Michigan,Tampa,2020,Soil,Groundwater,-15.99
Michigan,Tampa,2020,Water,Oxygen-depletion,-11.37
