Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Temperature,21-30,0.66
2016,Humidity,0-10,1.23
2016,Wind,Medium,2.49
2016,Temperature,High,0.0
2016,Humidity,Low,4.37
2016,Wind,Storm,3.47
2016,Temperature,Breeze,6.02
2016,Humidity,Calm,7.7
2016,Wind,21-30,7.14
2021,Temperature,21-30,10.37
2021,Humidity,0-10,11.72
2021,Wind,Medium,12.21
2021,Temperature,High,12.08
2021,Humidity,Low,13.65
2021,Wind,Storm,18.04
2021,Temperature,Breeze,20.98
2021,Humidity,Calm,24.79
2021,Wind,21-30,26.1
