Quarter,Month,State,City,Production_House,Production_Library,Residential_Apartment,Residential_Workshop,Service_Administration,Service_Factory,Minimum
Q1,June,California,Berkeley,74.98,22.97,98.51,41.72,11.70,60.48,11.70
,November,California,Berkeley,65.30,20.64,87.43,31.12,3.17,50.94,3.17
,October,California,Berkeley,85.97,27.64,98.94,41.53,15.63,64.50,15.63
Q2,April,California,Berkeley,81.18,25.68,99.11,42.34,12.20,60.74,12.20
,January,California,Berkeley,69.00,21.58,91.81,32.58,5.05,51.29,5.05
,November,California,Berkeley,84.98,27.06,98.47,48.77,15.07,65.35,15.07
Q4,February,California,Berkeley,71.29,21.66,91.38,34.17,6.21,49.46,6.21
,May,California,Berkeley,84.09,26.35,98.44,41.22,14.34,62.40,14.34
,October,California,Berkeley,66.28,15.72,87.56,28.77,1.21,49.62,1.21
Minimum,,,,65.30,15.72,87.43,28.77,1.21,49.46,1.21
