Quarter,Month,State,City,Production_House,Production_Library,Production_Workshop,Residential_Factory,Residential_Hospital,Service_Administration,Service_Hotel
Q2,April,Oregon,Portland,47.25,91.11,7.28,22.81,60.68,76.81,35.71
,October,Oregon,Redmond,47.09,98.87,11.89,27.56,65.19,82.45,39.13
,September,Oregon,Redmond,42.89,88.39,1.95,18.87,51.71,73.80,32.45
Q3,August,Oregon,Portland,40.68,86.37,0.06,17.20,52.84,72.34,30.42
,June,Oregon,Redmond,42.15,90.09,6.50,21.64,57.40,75.05,33.15
,November,Oregon,Portland,47.05,98.09,10.21,25.93,62.97,79.52,38.86
Q4,December,Oregon,Portland,51.26,98.90,15.03,29.87,71.85,86.13,38.55
,July,Oregon,Portland,42.25,89.76,2.16,20.15,49.90,73.14,33.22
,May,Oregon,Redmond,48.69,97.40,7.24,21.05,60.13,77.92,37.14
Minimum,,,,40.68,86.37,0.06,17.20,49.90,72.34,30.42
