Quarter,Month,Culture_House,Culture_Theatre,Residential_Apartment,Residential_Concert,Residential_Library,Service_Administration,Service_Museum
Minimum,,16.36,0.16,1.37,42.60,89.23,68.36,0.15
,  ,16.36,0.16,1.37,42.60,89.23,68.36,0.15
Q2,,19.14,64.48,4.45,42.61,90.38,75.01,0.15
,  July,19.14,64.48,4.45,42.61,90.38,75.01,31.31
,  May,22.25,68.34,11.06,55.19,97.03,76.94,35.61
,  September,27.20,72.13,14.87,63.49,99.46,88.15,0.15
Q3,,16.36,0.16,1.37,42.60,89.23,68.36,27.66
,  June,21.31,62.71,10.61,59.11,98.52,80.90,37.79
,  October,20.22,0.16,5.97,44.73,92.40,77.64,34.10
,  September,16.36,64.65,1.37,42.60,89.23,68.36,27.66
Q4,,16.46,63.50,2.53,43.95,89.93,75.04,29.97
,  April,19.64,69.27,13.14,62.14,99.05,87.94,39.91
,  August,16.46,63.50,2.53,43.95,89.93,75.04,29.97
,  December,20.56,68.75,10.46,54.77,93.28,78.84,35.56
