Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2020,Q3,Traffic,Slight,33.53
Female,2020,Q3,Drowning,Fatal,66.94
Female,2020,Q3,Fire,Slight,35.34
Female,2018,Q4,Traffic,Slight,98.79
Female,2018,Q4,Drowning,Fatal,69.44
Female,2018,Q4,Fire,Slight,40.65
Female,2015,Q3,Traffic,Slight,41.18
Female,2015,Q3,Drowning,Fatal,75.71
Female,2015,Q3,Fire,Slight,12.48
Female,2020,Q4,Traffic,Slight,75.09
Female,2020,Q4,Drowning,Fatal,78.76
Female,2020,Q4,Fire,Slight,78.02
Female,2018,Q3,Traffic,Slight,48.12
Female,2018,Q3,Drowning,Fatal,18.02
Female,2018,Q3,Fire,Slight,89.75
Female,2015,Q4,Traffic,Slight,26.74
Female,2015,Q4,Drowning,Fatal,28.32
Female,2015,Q4,Fire,Slight,30.32
