Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Humidity,Medium,1.05
2018,Wind,Low,2.19
2018,Temperature,High,3.87
2018,Humidity,Breeze,4.52
2018,Wind,Calm,5.06
2018,Temperature,11-20,6.13
2018,Humidity,0-10,7.21
2018,Wind,Medium,8.44
2018,Temperature,Low,7.66
2022,Humidity,Medium,10.47
2022,Wind,Low,10.14
2022,Temperature,High,12.41
2022,Humidity,Breeze,16.98
2022,Wind,Calm,19.2
2022,Temperature,11-20,19.22
2022,Humidity,0-10,21.12
2022,Wind,Medium,25.93
2022,Temperature,Low,26.38
