Polluted element,Type of pollution,California_Boston_2015,California_Lenox_2016,California_Los-Angeles_2018,Massachusetts_Berkeley_2016,Massachusetts_Cambridge_2018,Average
Air,Inferior Irrigation,-61.70,-10.54,-98.36,50.54,-41.31,-32.27
,Inorganic Fertilizers,72.21,-1.57,-94.40,-73.98,93.85,-0.78
,Surface water,61.41,-26.75,14.53,-86.46,-46.87,-16.83
,Thermal,-70.81,-23.92,28.43,45.36,86.30,13.07
,Urban Activities,57.61,-32.42,9.64,-90.61,-56.63,-22.48
Soil,Chemical,62.38,-23.87,20.62,41.70,84.04,36.97
,Inferior Irrigation,55.87,-35.55,1.36,-92.85,73.12,0.39
,Inorganic Fertilizers,56.31,97.32,14.91,38.23,-52.93,30.77
,Light,65.04,-14.24,-7.36,-80.75,-42.88,-16.04
,Solid Waste,69.12,-7.35,-96.40,-77.47,-40.39,-30.50
Water,Groundwater,-68.64,-23.18,26.12,-86.51,-43.26,-39.09
,Industrial,-72.45,-35.64,14.61,-87.95,78.88,-20.51
,Noise,67.12,-13.90,-98.97,-80.63,-42.20,-33.72
,Solid Waste,-71.77,95.46,1.16,36.91,74.48,27.25
,Urban Activities,71.23,-4.23,-99.20,53.87,-37.69,-3.20
