Polluted element,Type of pollution,Georgia_Albany_2015,Georgia_Hastings_2018,Georgia_Washington_2017,Minnesota_Columbus_2018,Minnesota_Minneapolis_2015,Minnesota_Rochester_2017,Average
Air,,-17.69,47.87,-56.57,-60.19,84.33,19.29,2.84
,  Inferior Irrigation,-23.08,42.71,-87.61,-56.72,84.77,19.60,-3.39
,  Noise,-11.16,45.07,7.80,-66.39,81.05,14.70,11.84
,  Surface water,-18.82,55.84,-89.91,-57.45,87.17,23.57,0.07
Soil,,-17.20,52.76,-86.15,-55.83,86.76,24.17,0.75
,  Groundwater,-20.41,51.62,-90.45,-62.23,85.54,20.48,-2.58
,  Solid Waste,-16.06,48.53,-85.13,-54.81,85.93,26.20,0.78
,  Urban Activities,-15.13,58.14,-82.87,-50.46,88.80,25.84,4.05
Water,,-21.60,49.87,-89.00,-57.81,85.49,22.28,-1.80
,  Industrial,-16.28,56.05,-87.32,-53.67,86.39,26.09,1.88
,  Inorganic Fertilizers,-23.51,48.69,-87.15,-55.46,84.85,23.06,-1.59
,  Thermal,-25.01,44.88,-92.53,-64.31,85.23,17.68,-5.68
