Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2016,Florida,Tampa,Humidity,Medium,0.95
2016,Florida,Tampa,Temperature,High,0.44
2016,Florida,Tampa,Humidity,Low,1.75
2016,Florida,Tampa,Temperature,0-10,3.0
2016,Florida,Tampa,Humidity,31-40,4.84
2016,Florida,Tampa,Temperature,21-30,0.6
2019,Illinois,Fort Lauderdale,Humidity,Medium,6.95
2019,Illinois,Fort Lauderdale,Temperature,High,7.88
2019,Illinois,Fort Lauderdale,Humidity,Low,8.94
2019,Illinois,Fort Lauderdale,Temperature,0-10,9.72
2019,Illinois,Fort Lauderdale,Humidity,31-40,9.73
2019,Illinois,Fort Lauderdale,Temperature,21-30,11.78
2020,Florida,Champaign,Humidity,Medium,9.85
2020,Florida,Champaign,Temperature,High,9.88
2020,Florida,Champaign,Humidity,Low,1.92
2020,Florida,Champaign,Temperature,0-10,6.88
2020,Florida,Champaign,Humidity,31-40,7.08
2020,Florida,Champaign,Temperature,21-30,18.88
2016,Illinois,Chicago,Humidity,Medium,21.55
2016,Illinois,Chicago,Temperature,High,22.19
2016,Illinois,Chicago,Humidity,Low,23.37
2016,Illinois,Chicago,Temperature,0-10,24.11
2016,Illinois,Chicago,Humidity,31-40,24.3
2016,Illinois,Chicago,Temperature,21-30,27.77
