Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2020,Massachusetts,Cambridge,Temperature,31-40,0.58
2020,Massachusetts,Cambridge,Humidity,21-30,0.69
2020,Massachusetts,Cambridge,Temperature,11-20,0.27
2020,Massachusetts,Cambridge,Humidity,Low,1.64
2020,Massachusetts,Cambridge,Temperature,Medium,4.16
2020,Massachusetts,Cambridge,Humidity,High,4.22
2021,Maryland,Lenox,Temperature,31-40,5.54
2021,Maryland,Lenox,Humidity,21-30,8.39
2021,Maryland,Lenox,Temperature,11-20,9.77
2021,Maryland,Lenox,Humidity,Low,10.95
2021,Maryland,Lenox,Temperature,Medium,8.51
2021,Maryland,Lenox,Humidity,High,11.16
2020,Massachusetts,Columbia,Temperature,31-40,13.86
2020,Massachusetts,Columbia,Humidity,21-30,14.95
2020,Massachusetts,Columbia,Temperature,11-20,15.66
2020,Massachusetts,Columbia,Humidity,Low,9.45
2020,Massachusetts,Columbia,Temperature,Medium,10.92
2020,Massachusetts,Columbia,Humidity,High,14.43
2021,Maryland,Aberdeen,Temperature,31-40,17.34
2021,Maryland,Aberdeen,Humidity,21-30,20.98
2021,Maryland,Aberdeen,Temperature,11-20,20.09
2021,Maryland,Aberdeen,Humidity,Low,16.91
2021,Maryland,Aberdeen,Temperature,Medium,23.47
2021,Maryland,Aberdeen,Humidity,High,20.79
2020,Massachusetts,Baltimore,Temperature,31-40,25.15
2020,Massachusetts,Baltimore,Humidity,21-30,26.45
2020,Massachusetts,Baltimore,Temperature,11-20,25.2
2020,Massachusetts,Baltimore,Humidity,Low,26.38
2020,Massachusetts,Baltimore,Temperature,Medium,25.76
2020,Massachusetts,Baltimore,Humidity,High,11.55
