Polluted element,Type of pollution,Maryland_Columbia,Maryland_Detroit,Michigan_Aberdeen,Michigan_Flint,Michigan_Reno,Nevada_Las Vegas,Nevada_Port Huron
Air,,-77.23,48.37,-62.93,15.45,-13.76,-40.68,79.34
,  Inorganic Fertilizers,-79.87,46.56,-98.96,8.72,-15.76,-43.53,77.90
,  Light,-76.70,44.82,3.09,14.72,-13.85,-43.20,76.75
,  Surface water,-75.12,53.72,-92.93,22.90,-11.67,-35.31,83.38
Soil,,-75.20,52.09,-77.98,8.19,-11.78,-35.08,80.28
,  Chemical,-74.98,54.96,-91.32,-2.39,-10.02,-29.27,84.37
,  Solid Waste,-77.73,51.92,-97.48,11.02,-12.53,-36.72,78.57
,  Thermal,-72.90,49.38,-45.12,15.94,-12.78,-39.25,77.91
Water,,-73.47,52.65,-75.99,20.96,-10.00,-33.22,81.44
,  Groundwater,-72.06,55.28,-89.20,24.02,-7.59,-28.16,83.00
,  Inferior Irrigation,-71.80,50.68,-44.78,18.11,-10.60,-35.90,80.08
,  Oxygen-depletion,-76.56,51.98,-93.98,20.75,-11.80,-35.59,81.25
