Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,Library,Q2,April,Oregon,Portland,0.8
Service,Library,Q3,June,Minnesota,Minneapolis,3.5
Service,Library,Q1,May,Oregon,Hastings,4.47
Service,Library,Q2,July,Minnesota,Portland,8.04
Service,Library,Q3,August,Oregon,Minneapolis,11.25
Service,Library,Q1,February,Minnesota,Hastings,14.93
Service,Library,Q2,January,Oregon,Portland,21.32
Service,Library,Q3,April,Minnesota,Minneapolis,23.18
Service,Library,Q1,June,Oregon,Hastings,29.3
Production,Administration,Q2,April,Oregon,Portland,31.26
Production,Administration,Q3,June,Minnesota,Minneapolis,39.7
Production,Administration,Q1,May,Oregon,Hastings,40.47
Production,Administration,Q2,July,Minnesota,Portland,45.89
Production,Administration,Q3,August,Oregon,Minneapolis,45.74
Production,Administration,Q1,February,Minnesota,Hastings,50.32
Production,Administration,Q2,January,Oregon,Portland,51.18
Production,Administration,Q3,April,Minnesota,Minneapolis,52.41
Production,Administration,Q1,June,Oregon,Hastings,53.48
Service,Hospital,Q2,April,Oregon,Portland,51.31
Service,Hospital,Q3,June,Minnesota,Minneapolis,57.6
Service,Hospital,Q1,May,Oregon,Hastings,58.52
Service,Hospital,Q2,July,Minnesota,Portland,58.38
Service,Hospital,Q3,August,Oregon,Minneapolis,63.2
Service,Hospital,Q1,February,Minnesota,Hastings,67.13
Service,Hospital,Q2,January,Oregon,Portland,68.84
Service,Hospital,Q3,April,Minnesota,Minneapolis,73.84
Service,Hospital,Q1,June,Oregon,Hastings,73.8
Production,Workshop,Q2,April,Oregon,Portland,76.83
Production,Workshop,Q3,June,Minnesota,Minneapolis,78.56
Production,Workshop,Q1,May,Oregon,Hastings,78.73
Production,Workshop,Q2,July,Minnesota,Portland,79.88
Production,Workshop,Q3,August,Oregon,Minneapolis,81.73
Production,Workshop,Q1,February,Minnesota,Hastings,83.51
Production,Workshop,Q2,January,Oregon,Portland,84.12
Production,Workshop,Q3,April,Minnesota,Minneapolis,87.67
Production,Workshop,Q1,June,Oregon,Hastings,87.26
Service,Factory,Q2,April,Oregon,Portland,89.1
Service,Factory,Q3,June,Minnesota,Minneapolis,90.26
Service,Factory,Q1,May,Oregon,Hastings,90.07
Service,Factory,Q2,July,Minnesota,Portland,87.05
Service,Factory,Q3,August,Oregon,Minneapolis,87.97
Service,Factory,Q1,February,Minnesota,Hastings,88.98
Service,Factory,Q2,January,Oregon,Portland,95.57
Service,Factory,Q3,April,Minnesota,Minneapolis,91.5
Service,Factory,Q1,June,Oregon,Hastings,98.87
