Quarter,Month,Culture_Hospital,Culture_Museum,Production_Factory,Production_School,Service_Administration,Service_Theatre,Service_Workshop,State,City
Minimum,,19.48,62.68,69.74,41.96,0.43,56.77,86.40,,
,  ,19.48,62.68,69.74,41.96,0.43,56.77,86.40,,
Q2,,21.13,62.94,71.25,43.71,2.24,57.47,86.46,,
,  December,40.44,69.95,82.97,54.25,18.15,61.44,97.22,Nevada,Las Vegas
,  May,28.21,64.22,72.07,46.90,11.06,59.53,91.05,Nevada,Hastings
,  November,21.13,62.94,71.25,43.71,2.24,57.47,86.46,Nevada,Minneapolis
Q4,,19.48,62.68,69.74,41.96,0.43,56.77,86.40,,
,  April,35.01,66.64,74.67,51.17,17.09,60.65,93.03,Minnesota,Minneapolis
,  December,19.48,62.68,70.60,41.96,0.43,56.77,86.40,Minnesota,Hastings
,  October,26.66,62.88,69.74,44.69,9.48,57.53,91.85,Minnesota,Las Vegas
