Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Humidity,Medium,0.58
2019,Temperature,Low,2.49
2019,Wind,11-20,3.24
2019,Humidity,21-30,4.69
2019,Temperature,31-40,5.28
2019,Wind,Calm,6.46
2019,Humidity,Storm,7.68
2019,Temperature,Breeze,7.59
2019,Wind,Medium,9.42
2015,Humidity,Medium,10.78
2015,Temperature,Low,10.87
2015,Wind,11-20,5.92
2015,Humidity,21-30,12.17
2015,Temperature,31-40,3.17
2015,Wind,Calm,17.98
2015,Humidity,Storm,17.69
2015,Temperature,Breeze,21.1
2015,Wind,Medium,23.3
2022,Humidity,Medium,24.4
2022,Temperature,Low,24.6
2022,Wind,11-20,26.17
2022,Humidity,21-30,26.78
2022,Temperature,31-40,26.24
2022,Wind,Calm,27.9
2022,Humidity,Storm,0.11
2022,Temperature,Breeze,3.11
2022,Wind,Medium,3.9
