Polluted element,Type of pollution,Florida_Boston_2017,Florida_Fort Lauderdale_2017,Massachusetts_Cambridge_2015,Massachusetts_Lenox_2015,Massachusetts_Tampa_2015
Soil,,-54.43,11.71,-2.40,16.01,7.10
,  Groundwater,-82.59,84.18,14.59,62.18,-27.73
,  Oxygen-depletion,43.74,79.45,2.25,-72.07,95.41
,  Solid Waste,-80.40,-40.35,26.62,-60.67,-16.15
,  Surface water,-75.73,-31.25,38.57,76.75,-6.02
,  Urban Activities,-77.18,-33.49,-94.05,73.86,-10.03
Water,,-5.01,60.15,20.93,-11.62,53.95
,  Chemical,43.20,79.71,12.75,62.57,98.73
,  Industrial,47.97,84.91,22.18,67.33,95.28
,  Inferior Irrigation,-78.37,89.00,32.93,-61.88,-12.16
,  Inorganic Fertilizers,-77.66,96.20,35.60,-52.24,-9.79
,  Surface water,39.83,-49.07,1.17,-73.89,97.67
