Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,Library,Q3,July,Maryland,Baltimore,1.99
Service,Library,Q4,September,Maryland,Baltimore,2.64
Service,Library,Q1,December,Maryland,Baltimore,5.97
Service,Library,Q3,October,Maryland,Baltimore,9.88
Service,Library,Q4,January,Maryland,Baltimore,9.93
Service,Library,Q1,March,Maryland,Baltimore,11.04
Service,Library,Q3,February,Maryland,Baltimore,9.6
Service,Library,Q4,July,Maryland,Baltimore,15.28
Service,Library,Q1,September,Maryland,Baltimore,18.49
Production,Administration,Q3,July,Maryland,Baltimore,18.96
Production,Administration,Q4,September,Maryland,Baltimore,24.62
Production,Administration,Q1,December,Maryland,Baltimore,25.94
Production,Administration,Q3,October,Maryland,Baltimore,27.68
Production,Administration,Q4,January,Maryland,Baltimore,35.42
Production,Administration,Q1,March,Maryland,Baltimore,36.7
Production,Administration,Q3,February,Maryland,Baltimore,37.5
Production,Administration,Q4,July,Maryland,Baltimore,39.43
Production,Administration,Q1,September,Maryland,Baltimore,41.33
Service,School,Q3,July,Maryland,Baltimore,43.75
Service,School,Q4,September,Maryland,Baltimore,44.95
Service,School,Q1,December,Maryland,Baltimore,45.09
Service,School,Q3,October,Maryland,Baltimore,44.18
Service,School,Q4,January,Maryland,Baltimore,45.11
Service,School,Q1,March,Maryland,Baltimore,49.99
Service,School,Q3,February,Maryland,Baltimore,53.06
Service,School,Q4,July,Maryland,Baltimore,53.35
Service,School,Q1,September,Maryland,Baltimore,56.77
Production,Workshop,Q3,July,Maryland,Baltimore,60.1
Production,Workshop,Q4,September,Maryland,Baltimore,60.66
Production,Workshop,Q1,December,Maryland,Baltimore,61.74
Production,Workshop,Q3,October,Maryland,Baltimore,63.93
Production,Workshop,Q4,January,Maryland,Baltimore,65.53
Production,Workshop,Q1,March,Maryland,Baltimore,70.97
Production,Workshop,Q3,February,Maryland,Baltimore,70.09
Production,Workshop,Q4,July,Maryland,Baltimore,72.83
Production,Workshop,Q1,September,Maryland,Baltimore,78.72
Service,Factory,Q3,July,Maryland,Baltimore,79.85
Service,Factory,Q4,September,Maryland,Baltimore,82.9
Service,Factory,Q1,December,Maryland,Baltimore,88.35
Service,Factory,Q3,October,Maryland,Baltimore,89.49
Service,Factory,Q4,January,Maryland,Baltimore,91.52
Service,Factory,Q1,March,Maryland,Baltimore,91.59
Service,Factory,Q3,February,Maryland,Baltimore,93.73
Service,Factory,Q4,July,Maryland,Baltimore,91.34
Service,Factory,Q1,September,Maryland,Baltimore,97.5
