Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2019,Q1,Fire,Slight,32.1
Female,2019,Q1,Traffic,Fatal,34.43
Female,2019,Q1,Drowning,Slight,35.12
Female,2016,Q1,Fire,Slight,51.76
Female,2016,Q1,Traffic,Fatal,51.96
Female,2016,Q1,Drowning,Slight,20.82
Female,2019,Q1,Fire,Slight,51.73
Female,2019,Q1,Traffic,Fatal,52.06
Female,2019,Q1,Drowning,Slight,88.09
Female,2016,Q1,Fire,Slight,56.1
Female,2016,Q1,Traffic,Fatal,59.21
Female,2016,Q1,Drowning,Slight,63.38
