Quarter,Month,State,City,Production_Administration,Production_Workshop,Service_Factory,Service_Library,Minimum
Q2,April,Nevada,Reno,29.04,88.58,62.90,9.59,9.59
,November,Nevada,Las Vegas,44.98,98.53,70.16,12.13,12.13
,September,Nevada,Las Vegas,23.56,79.30,54.49,3.97,3.97
Q3,August,Nevada,Reno,21.44,74.59,54.29,2.34,2.34
,June,Nevada,Las Vegas,25.12,86.20,61.39,6.10,6.10
,October,Nevada,Reno,42.72,89.37,67.87,11.60,11.60
Q4,August,Nevada,Reno,49.87,98.96,73.62,17.05,17.05
,December,Nevada,Las Vegas,31.04,89.62,63.81,10.58,10.58
,May,Nevada,Reno,25.46,81.22,58.21,2.35,2.35
Minimum,,,,21.44,74.59,54.29,2.34,2.34
