Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,House,Q3,July,2.04
Residential,House,Q2,August,3.93
Residential,House,Q3,June,5.3
Residential,House,Q2,April,10.63
Residential,House,Q3,May,11.93
Residential,House,Q2,July,12.21
Production,Hotel,Q3,July,10.15
Production,Hotel,Q2,August,17.53
Production,Hotel,Q3,June,18.22
Production,Hotel,Q2,April,33.67
Production,Hotel,Q3,May,37.61
Production,Hotel,Q2,July,39.72
Residential,Apartment,Q3,July,39.48
Residential,Apartment,Q2,August,42.31
Residential,Apartment,Q3,June,43.17
Residential,Apartment,Q2,April,51.49
Residential,Apartment,Q3,May,54.5
Residential,Apartment,Q2,July,56.8
Production,Workshop,Q3,July,59.79
Production,Workshop,Q2,August,62.84
Production,Workshop,Q3,June,63.81
Production,Workshop,Q2,April,66.0
Production,Workshop,Q3,May,67.51
Production,Workshop,Q2,July,73.11
Residential,Factory,Q3,July,84.67
Residential,Factory,Q2,August,84.73
Residential,Factory,Q3,June,85.15
Residential,Factory,Q2,April,86.97
Residential,Factory,Q3,May,89.51
Residential,Factory,Q2,July,99.95
