Characteristic,Intensity,2015_California_Boulder City,2015_Nevada_Berkeley,2015_Oregon_Malibu,2015_Oregon_Portland,2020_California_Los-Angeles,2020_Nevada_Redmond,2020_Oregon_Las Vegas
Humidity,,26.44,11.44,25.72,8.90,18.05,16.42,26.19
,  0-10,26.44,11.44,25.72,8.90,18.05,16.42,6.66
,  11-20,20.94,8.99,2.67,2.73,14.50,10.08,26.19
,  Medium,23.26,10.24,2.23,4.96,16.23,8.29,24.42
Temperature,,24.87,27.06,25.74,2.89,15.26,11.26,27.50
,  21-30,11.51,27.06,6.22,0.54,4.77,8.50,27.50
,  Low,24.87,10.89,22.36,2.19,4.30,8.87,5.40
,  Storm,18.70,8.83,25.74,2.89,15.26,11.26,26.08
Wind,,25.61,11.66,26.05,4.82,17.79,13.35,27.53
,  0-10,18.74,1.60,19.72,1.00,13.80,9.60,27.53
,  21-30,25.61,11.66,26.05,2.04,17.79,13.35,6.90
,  Breeze,22.21,9.15,1.65,4.82,15.60,12.94,22.99
