Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2018,Beverage,Tea,640.48
Export,2018,Cereals,Soda,676.25
Export,2018,Beverage,Rice,324.65
Export,2018,Cereals,Soybeans,454.15
Export,2018,Beverage,Seeds,102.15
Export,2018,Cereals,Tea,987.59
Export,2015,Beverage,Tea,358.07
Export,2015,Cereals,Soda,201.89
Export,2015,Beverage,Rice,37.13
Export,2015,Cereals,Soybeans,429.21
Export,2015,Beverage,Seeds,974.25
Export,2015,Cereals,Tea,687.33
Export,2018,Beverage,Tea,400.05
Export,2018,Cereals,Soda,657.65
Export,2018,Beverage,Rice,442.9
Export,2018,Cereals,Soybeans,763.78
Export,2018,Beverage,Seeds,573.37
Export,2018,Cereals,Tea,830.29
