Polluted element,Type of pollution,Florida_Detroit_2022,Florida_Tampa_2017,Michigan_Fort Lauderdale_2021,Michigan_Port Huron_2018
Air,,31.08,15.57,8.04,-2.30
,  Groundwater,76.01,32.60,-72.95,-18.29
,  Solid Waste,16.32,-36.71,-7.96,44.96
,  Surface water,-56.33,27.44,51.81,-25.00
,  Thermal,88.32,38.94,61.25,-10.88
Soil,,-38.38,-30.84,20.53,25.81
,  Chemical,-59.68,-7.87,-77.84,-24.39
,  Inferior Irrigation,-57.81,20.26,49.43,98.32
,  Noise,-49.50,-92.35,57.14,-13.75
,  Urban Activities,13.45,-43.41,53.39,43.06
Water,,-20.76,-19.54,-26.41,-20.04
,  Industrial,79.94,-42.51,-10.16,-19.75
,  Inorganic Fertilizers,-56.26,24.14,51.07,-30.98
,  Light,-49.11,-91.02,-68.67,-11.11
,  Oxygen-depletion,-57.59,31.21,-77.88,-18.32
