Polluted element,Type of pollution,Maryland_Aberdeen,Maryland_Lenox,Maryland_Salem,Massachusetts_Baltimore,Massachusetts_Boston,Massachusetts_Redmond,Oregon_Cambridge,Oregon_Columbia,Oregon_Portland
Average,,11.95,-68.06,78.33,49.04,-24.26,-84.95,-50.94,28.05,-20.61
,  ,11.95,-68.06,78.33,49.04,-24.26,-84.95,-50.94,28.05,-20.61
Air,,13.51,-66.48,80.89,49.86,-24.14,-83.88,-50.01,32.10,-40.57
,  Chemical,17.65,-62.45,87.28,45.94,-10.82,-79.02,-47.86,35.52,-95.58
,  Groundwater,5.85,-72.67,70.91,44.20,-42.41,-89.90,-55.43,25.05,96.65
,  Inferior Irrigation,8.09,-70.79,73.59,47.16,-36.51,-86.48,-54.42,28.27,-8.45
,  Thermal,14.75,-67.19,78.76,49.94,-27.35,-83.67,-48.48,32.70,-99.73
,  Urban Activities,21.20,-59.31,93.89,62.04,-3.60,-80.35,-43.86,38.95,-95.72
Soil,,12.32,-69.19,78.21,48.85,-19.01,-85.61,-50.92,30.99,-20.43
,  Chemical,4.69,-73.88,69.94,41.65,-8.14,-95.57,-56.83,24.40,95.37
,  Industrial,20.83,-60.22,90.95,60.86,-6.36,-77.58,-44.95,37.77,-93.91
,  Solid Waste,10.81,-67.27,77.25,49.60,-28.06,-83.50,-49.85,31.50,-99.59
,  Surface water,17.94,-72.25,80.27,45.97,-13.78,-81.60,-47.97,34.52,-99.05
,  Urban Activities,7.34,-72.33,72.64,46.18,-38.71,-89.81,-55.02,26.77,95.03
Water,,10.01,-68.52,75.90,48.41,-29.64,-85.37,-51.88,21.06,-0.85
,  Groundwater,19.99,-61.36,88.12,58.34,-8.69,-81.17,-44.05,-6.89,-94.78
,  Industrial,4.15,-71.27,72.73,45.51,-45.62,-88.11,-54.76,26.39,94.55
,  Inorganic Fertilizers,9.05,-68.59,76.14,48.67,-35.96,-85.28,-55.09,29.90,-0.93
,  Noise,14.06,-65.60,79.18,48.45,-15.45,-81.24,-47.66,33.37,-97.49
,  Surface water,2.81,-75.78,63.31,41.09,-42.46,-91.04,-57.82,22.54,94.42
