Characteristic,Intensity,2018_Minnesota_Minneapolis,2018_Minnesota_Tampa,2021_Florida_Fort Lauderdale,2021_Florida_Rochester,Maximum
Humidity,,27.74,12.25,5.35,24.98,27.74
,  11-20,12.24,12.10,5.35,24.98,24.98
,  Breeze,22.77,12.25,1.74,21.32,22.77
,  High,27.74,9.94,0.92,18.64,27.74
Temperature,,25.42,17.74,8.39,25.95,25.95
,  21-30,10.08,14.15,5.13,23.61,23.61
,  High,20.11,17.74,8.39,25.95,25.95
,  Medium,25.42,6.85,2.35,15.65,25.42
Wind,,26.57,12.97,7.72,25.91,26.57
,  31-40,5.87,12.37,7.72,25.91,25.91
,  Low,24.35,7.55,0.60,19.46,24.35
,  Storm,26.57,12.97,4.85,18.26,26.57
Maximum,,27.74,17.74,8.39,25.95,27.74
,  ,27.74,17.74,8.39,25.95,27.74
