Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2016,Cereals,Wheat,896.49
Export,2016,Dairy,Seeds,385.66
Export,2016,Beverage,Soybeans,387.2
Export,2016,Cereals,Cream,131.28
Export,2016,Dairy,Butter,775.05
Export,2016,Beverage,Milk,11.35
Export,2016,Cereals,Coffee,141.93
Export,2016,Dairy,Tea,910.53
Export,2016,Beverage,Wheat,655.3
Export,2018,Cereals,Wheat,276.32
Export,2018,Dairy,Seeds,410.13
Export,2018,Beverage,Soybeans,29.56
Export,2018,Cereals,Cream,671.68
Export,2018,Dairy,Butter,805.57
Export,2018,Beverage,Milk,678.18
Export,2018,Cereals,Coffee,680.05
Export,2018,Dairy,Tea,555.17
Export,2018,Beverage,Wheat,178.39
Export,2022,Cereals,Wheat,181.69
Export,2022,Dairy,Seeds,185.87
Export,2022,Beverage,Soybeans,828.64
Export,2022,Cereals,Cream,445.13
Export,2022,Dairy,Butter,958.37
Export,2022,Beverage,Milk,447.55
Export,2022,Cereals,Coffee,327.62
Export,2022,Dairy,Tea,587.56
Export,2022,Beverage,Wheat,460.02
Export,2016,Cereals,Wheat,211.13
Export,2016,Dairy,Seeds,218.86
Export,2016,Beverage,Soybeans,604.39
Export,2016,Cereals,Cream,732.38
Export,2016,Dairy,Butter,352.64
Export,2016,Beverage,Milk,356.04
Export,2016,Cereals,Coffee,232.26
Export,2016,Dairy,Tea,625.49
Export,2016,Beverage,Wheat,504.01
