Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Concert,Q4,December,2.17
Culture,Concert,Q3,October,3.01
Culture,Concert,Q2,July,4.15
Culture,Concert,Q4,September,5.74
Culture,Concert,Q3,August,4.05
Culture,Concert,Q2,April,7.11
Culture,Concert,Q4,June,7.84
Culture,Concert,Q3,December,7.05
Culture,Concert,Q2,October,8.31
Residential,Museum,Q4,December,11.34
Residential,Museum,Q3,October,12.21
Residential,Museum,Q2,July,13.02
Residential,Museum,Q4,September,14.52
Residential,Museum,Q3,August,14.21
Residential,Museum,Q2,April,11.57
Residential,Museum,Q4,June,9.27
Residential,Museum,Q3,December,17.31
Residential,Museum,Q2,October,19.21
Service,Theatre,Q4,December,20.16
Service,Theatre,Q3,October,21.17
Service,Theatre,Q2,July,23.94
Service,Theatre,Q4,September,24.01
Service,Theatre,Q3,August,25.21
Service,Theatre,Q2,April,27.14
Service,Theatre,Q4,June,32.93
Service,Theatre,Q3,December,32.63
Service,Theatre,Q2,October,33.28
Culture,House,Q4,December,33.09
Culture,House,Q3,October,34.7
Culture,House,Q2,July,36.56
Culture,House,Q4,September,34.01
Culture,House,Q3,August,38.5
Culture,House,Q2,April,38.93
Culture,House,Q4,June,40.06
Culture,House,Q3,December,41.53
Culture,House,Q2,October,40.33
Residential,Apartment,Q4,December,43.91
Residential,Apartment,Q3,October,39.6
Residential,Apartment,Q2,July,45.25
Residential,Apartment,Q4,September,39.15
Residential,Apartment,Q3,August,44.34
Residential,Apartment,Q2,April,48.04
Residential,Apartment,Q4,June,49.87
Residential,Apartment,Q3,December,43.64
Residential,Apartment,Q2,October,53.01
Service,Hotel,Q4,December,57.64
Service,Hotel,Q3,October,59.36
Service,Hotel,Q2,July,61.84
Service,Hotel,Q4,September,62.32
Service,Hotel,Q3,August,63.03
Service,Hotel,Q2,April,63.64
Service,Hotel,Q4,June,62.09
Service,Hotel,Q3,December,67.32
Service,Hotel,Q2,October,67.91
Culture,Hospital,Q4,December,70.57
Culture,Hospital,Q3,October,71.8
Culture,Hospital,Q2,July,72.62
Culture,Hospital,Q4,September,74.72
Culture,Hospital,Q3,August,75.33
Culture,Hospital,Q2,April,76.13
Culture,Hospital,Q4,June,76.45
Culture,Hospital,Q3,December,78.06
Culture,Hospital,Q2,October,80.07
Residential,School,Q4,December,80.71
Residential,School,Q3,October,82.9
Residential,School,Q2,July,83.91
Residential,School,Q4,September,80.91
Residential,School,Q3,August,81.83
Residential,School,Q2,April,87.04
Residential,School,Q4,June,88.01
Residential,School,Q3,December,88.23
Residential,School,Q2,October,90.66
Service,Administration,Q4,December,91.84
Service,Administration,Q3,October,92.44
Service,Administration,Q2,July,93.15
Service,Administration,Q4,September,89.77
Service,Administration,Q3,August,95.16
Service,Administration,Q2,April,96.07
Service,Administration,Q4,June,34.07
Service,Administration,Q3,December,39.59
Service,Administration,Q2,October,2.27
