Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Workshop,Q2,June,6.6
Production,Workshop,Q3,April,8.15
Production,Workshop,Q1,May,9.92
Production,Workshop,Q2,July,9.13
Production,Workshop,Q3,August,14.19
Production,Workshop,Q1,September,15.22
Production,Workshop,Q2,January,16.45
Production,Workshop,Q3,February,17.91
Production,Workshop,Q1,March,23.36
Residential,Factory,Q2,June,24.52
Residential,Factory,Q3,April,23.97
Residential,Factory,Q1,May,29.02
Residential,Factory,Q2,July,31.07
Residential,Factory,Q3,August,38.15
Residential,Factory,Q1,September,41.08
Residential,Factory,Q2,January,46.37
Residential,Factory,Q3,February,46.58
Residential,Factory,Q1,March,52.59
Production,House,Q2,June,54.78
Production,House,Q3,April,55.81
Production,House,Q1,May,60.46
Production,House,Q2,July,60.08
Production,House,Q3,August,61.95
Production,House,Q1,September,62.63
Production,House,Q2,January,61.67
Production,House,Q3,February,66.15
Production,House,Q1,March,68.97
Residential,Apartment,Q2,June,72.41
Residential,Apartment,Q3,April,78.99
Residential,Apartment,Q1,May,80.74
Residential,Apartment,Q2,July,81.69
Residential,Apartment,Q3,August,83.69
Residential,Apartment,Q1,September,85.13
Residential,Apartment,Q2,January,87.49
Residential,Apartment,Q3,February,94.57
Residential,Apartment,Q1,March,97.46
