Polluted element,Type of pollution,Illinois_Chicago_2015,Illinois_Las Vegas_2021,Nevada_Boulder City_2015,Nevada_Champaign_2022,Average
Soil,,-2.49,-25.03,-27.32,48.26,-1.65
,  Chemical,-35.75,-86.67,14.18,71.31,-9.23
,  Industrial,-23.55,-71.58,-95.63,-49.89,-60.16
,  Oxygen-depletion,-11.72,63.95,-86.60,82.07,11.93
,  Surface water,86.08,44.09,1.60,63.15,48.73
,  Urban Activities,-27.51,-74.96,29.85,74.65,0.51
Water,,-4.88,-53.28,-32.41,-43.45,-33.51
,  Groundwater,-37.63,-83.61,13.39,-59.77,-41.91
,  Inferior Irrigation,-14.93,-71.04,-93.35,-48.29,-56.90
,  Inorganic Fertilizers,-24.37,-72.32,-96.88,-53.72,-61.82
,  Oxygen-depletion,-44.00,42.17,-0.59,-0.21,-0.66
,  Solid Waste,96.52,-81.61,15.38,-55.24,-6.24
