Quarter,Month,Production_House,Production_Library,Production_Workshop,Residential_Factory,Residential_Hospital,Residential_Hotel,Service_Administration,Service_Apartment,Minimum,State,City
Q1,,42.23,74.27,1.29,16.90,84.63,49.99,58.80,24.23,1.29,,
,  April,42.23,74.27,1.29,16.90,84.63,49.99,58.80,24.23,1.29,Michigan,Detroit
,  January,44.55,76.19,5.90,17.79,97.11,52.68,61.91,31.61,5.90,Michigan,Detroit
,  May,47.82,78.18,14.05,21.80,98.70,56.50,67.25,34.39,14.05,Michigan,Detroit
Q2,,41.51,72.23,1.95,15.37,80.90,48.23,57.55,22.35,1.95,,
,  June,41.51,75.44,4.06,16.39,93.35,50.13,59.08,27.30,4.06,Michigan,Detroit
,  March,45.37,76.81,11.33,15.89,98.83,52.19,64.81,32.61,11.33,Michigan,Detroit
,  May,41.61,72.23,1.95,15.37,80.90,48.23,57.55,22.35,1.95,Michigan,Detroit
Minimum,,41.51,72.23,1.29,15.37,80.90,48.23,57.55,22.35,1.29,,
,  ,41.51,72.23,1.29,15.37,80.90,48.23,57.55,22.35,1.29,,
