Characteristic,Intensity,2016_Maryland_Flint,2016_Massachusetts_Boston,2016_Michigan_Columbia,2020_Maryland_Cambridge,2020_Massachusetts_Aberdeen,2020_Michigan_Detroit,2020_Michigan_Lenox
Humidity,,15.48,14.48,27.70,10.40,24.71,5.37,20.30
,  21-30,15.48,5.78,25.77,10.40,24.71,5.37,3.56
,  Calm,12.17,14.48,25.91,8.68,21.78,3.73,20.30
,  Low,9.00,12.38,27.70,7.65,18.65,0.87,2.67
Temperature,,17.35,17.47,27.27,11.75,18.24,8.74,25.70
,  31-40,14.15,17.47,23.16,9.17,14.08,3.10,22.67
,  High,11.58,13.75,21.16,8.46,18.24,2.44,7.62
,  Medium,17.35,6.12,27.27,11.75,5.27,8.74,25.70
Wind,,10.92,12.01,27.17,11.02,21.88,4.90,23.88
,  Breeze,5.44,2.01,24.40,9.21,14.95,4.80,21.00
,  Low,8.85,5.06,25.04,11.02,21.88,4.90,23.88
,  Medium,10.92,12.01,27.17,1.69,19.81,1.68,6.71
Maximum,,17.35,17.47,27.70,11.75,24.71,8.74,25.70
,  ,17.35,17.47,27.70,11.75,24.71,8.74,25.70
