Polluted element,Type of pollution,Maryland_Baltimore_2021,Maryland_Cambridge_2015,Maryland_Minneapolis_2020,Massachusetts_Aberdeen_2019,Massachusetts_Lenox_2020,Minnesota_Boston_2019,Minnesota_Columbia_2015,Minnesota_Rochester_2021,Average
Air,,-20.80,-16.31,-49.99,-42.23,79.26,-36.37,-35.84,18.69,-12.95
,  Groundwater,-66.83,-25.12,-96.49,-86.62,71.72,-37.88,34.94,6.13,-25.02
,  Light,-63.74,-14.31,36.96,-88.56,77.27,-40.71,-72.69,21.45,-18.04
,  Surface water,68.16,-9.49,-90.44,48.49,88.79,-30.52,-69.76,28.48,4.21
Soil,,-20.55,-14.00,36.79,-83.98,-49.37,52.88,14.01,20.37,-5.48
,  Groundwater,-63.22,-3.60,40.71,-79.45,-39.92,-29.27,59.87,29.35,-10.69
,  Inferior Irrigation,-62.14,-13.89,37.60,-83.40,-43.25,95.01,-71.24,24.22,-14.64
,  Thermal,63.71,-24.52,32.07,-89.10,-64.95,92.91,53.39,7.54,8.88
Water,,-21.84,-19.37,34.63,-3.75,32.70,46.93,-74.65,12.35,0.88
,  Noise,64.12,-19.43,32.64,44.50,77.07,-38.39,-73.29,11.62,12.36
,  Surface water,-67.79,-27.70,32.41,39.94,-66.92,89.01,-79.39,-0.48,-10.12
,  Urban Activities,-61.84,-10.99,38.85,-95.68,87.94,90.17,-71.28,25.92,0.39
