Degree,Gender,Nationality,Year,Language,Value
Degree,Gender,Nationality,Year,Language,Value
PhD,Male,Qatari,2018/2019,Spanish,224.08
PhD,Male,Qatari,2019/2020,English,484.26
PhD,Male,Qatari,2015/2016,Spanish,330.41
PhD,Male,Qatari,2021/2022,English,75.15
PhD,Male,Qatari,2017/2018,Spanish,303.22
PhD,Male,Qatari,2018/2019,Spanish,208.25
PhD,Male,Qatari,2019/2020,English,337.0
PhD,Male,Qatari,2015/2016,Spanish,242.56
PhD,Male,Qatari,2021/2022,English,339.9
PhD,Male,Qatari,2017/2018,Spanish,244.04
PhD,Male,Qatari,2018/2019,Spanish,469.6
PhD,Male,Qatari,2019/2020,English,213.07
PhD,Male,Qatari,2015/2016,Spanish,438.08
PhD,Male,Qatari,2021/2022,English,180.55
PhD,Male,Qatari,2017/2018,Spanish,313.64
