Quarter,Month,Production_Factory,Production_Hotel,Residential_Apartment,Residential_House,Residential_Workshop,State,City
Q2,,74.36,32.56,60.13,3.24,86.40,,
,  April,77.58,34.40,68.80,10.52,93.05,Maryland,Baltimore
,  October,80.65,45.75,70.29,26.15,96.99,Maryland,Aberdeen
,  September,74.36,32.56,60.13,3.24,86.40,Maryland,Aberdeen
Q3,,71.44,28.07,56.76,1.86,80.64,,
,  July,73.88,28.07,56.76,1.86,80.64,Maryland,Baltimore
,  May,75.66,35.01,64.71,5.52,92.23,Maryland,Aberdeen
,  November,71.44,42.00,70.10,21.42,95.43,Maryland,Baltimore
Q4,,70.69,34.62,61.96,5.48,87.48,,
,  December,70.69,38.50,69.50,11.64,94.45,Maryland,Aberdeen
,  July,80.29,51.00,72.90,26.31,97.27,Maryland,Baltimore
,  June,75.93,34.62,61.96,5.48,87.48,Maryland,Baltimore
Minimum,,70.69,28.07,56.76,1.86,80.64,,
,  ,70.69,28.07,56.76,1.86,80.64,,
