Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Temperature,31-40,0.59
2017,Humidity,11-20,1.24
2017,Wind,0-10,2.87
2017,Temperature,High,3.43
2017,Humidity,Medium,4.12
2017,Wind,Low,2.38
2017,Temperature,Breeze,6.92
2017,Humidity,Calm,7.4
2017,Wind,31-40,5.52
2015,Temperature,31-40,9.42
2015,Humidity,11-20,10.89
2015,Wind,0-10,9.97
2015,Temperature,High,13.05
2015,Humidity,Medium,14.08
2015,Wind,Low,16.75
2015,Temperature,Breeze,17.11
2015,Humidity,Calm,17.52
2015,Wind,31-40,16.85
2016,Temperature,31-40,23.15
2016,Humidity,11-20,24.98
2016,Wind,0-10,24.69
2016,Temperature,High,26.85
2016,Humidity,Medium,25.82
2016,Wind,Low,26.97
2016,Temperature,Breeze,27.06
2016,Humidity,Calm,24.22
2016,Wind,31-40,0.22
