Polluted element,Type of pollution,Illinois_Champaign_2020,Illinois_Las Vegas_2022,Nevada_Boulder City_2016,Nevada_Reno_2019,Nevada_Springfield_2016
Air,,-60.41,-14.67,13.37,-40.96,50.34
,  Inferior Irrigation,-57.94,31.27,19.04,-77.38,-16.11
,  Noise,-63.22,22.93,4.67,40.71,75.97
,  Thermal,-60.06,-98.22,16.40,-86.21,91.16
Soil,,70.78,-54.04,16.81,8.08,-30.16
,  Light,67.78,-99.75,13.21,42.77,-45.02
,  Solid Waste,70.08,30.71,17.97,46.41,-36.41
,  Urban Activities,74.47,-93.08,19.26,-64.94,-9.05
Average,,5.18,-34.36,15.09,-16.44,10.09
,  ,5.18,-34.36,15.09,-16.44,10.09
