Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Temperature,0-10,0.18
2015,Humidity,31-40,5.56
2015,Wind,Low,6.58
2015,Temperature,Medium,7.6
2015,Humidity,High,8.24
2015,Wind,Breeze,9.95
2015,Temperature,Storm,11.2
2015,Humidity,Calm,13.16
2015,Wind,0-10,14.78
2018,Temperature,0-10,15.07
2018,Humidity,31-40,16.43
2018,Wind,Low,15.71
2018,Temperature,Medium,13.95
2018,Humidity,High,20.92
2018,Wind,Breeze,21.58
2018,Temperature,Storm,21.11
2018,Humidity,Calm,23.61
2018,Wind,0-10,27.81
