Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Wind,Calm,3.35
2020,Humidity,Storm,3.73
2020,Temperature,High,5.9
2020,Wind,Low,3.22
2020,Humidity,Medium,7.75
2020,Temperature,11-20,8.83
2020,Wind,0-10,8.95
2020,Humidity,Calm,8.6
2020,Temperature,Storm,11.04
2022,Wind,Calm,8.94
2022,Humidity,Storm,14.86
2022,Temperature,High,17.85
2022,Wind,Low,18.74
2022,Humidity,Medium,18.29
2022,Temperature,11-20,20.3
2022,Wind,0-10,22.61
2022,Humidity,Calm,25.31
2022,Temperature,Storm,27.16
