Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Humidity,Medium,0.55
2019,Temperature,High,1.27
2019,Wind,31-40,1.71
2019,Humidity,21-30,0.66
2019,Temperature,0-10,4.26
2019,Wind,Storm,6.33
2019,Humidity,Calm,7.14
2019,Temperature,Medium,8.14
2019,Wind,High,9.35
2020,Humidity,Medium,9.54
2020,Temperature,High,9.99
2020,Wind,31-40,8.0
2020,Humidity,21-30,13.32
2020,Temperature,0-10,14.72
2020,Wind,Storm,15.49
2020,Humidity,Calm,14.91
2020,Temperature,Medium,14.23
2020,Wind,High,18.06
2016,Humidity,Medium,19.0
2016,Temperature,High,20.57
2016,Wind,31-40,14.81
2016,Humidity,21-30,17.51
2016,Temperature,0-10,22.35
2016,Wind,Storm,21.22
2016,Humidity,Calm,26.34
2016,Temperature,Medium,26.33
2016,Wind,High,15.06
