Quarter,Month,Culture_Apartment,Culture_Workshop,Production_Concert,Production_Factory,Production_Hotel,Residential_House,Residential_Theatre,State,City
Minimum,,67.60,17.73,56.75,0.72,88.16,80.30,36.70,,
,  ,67.60,17.73,56.75,0.72,88.16,80.30,36.70,,
Q1,,70.14,20.95,59.85,1.09,92.05,82.84,43.88,,
,  March,70.14,22.42,66.60,10.41,96.50,85.11,53.66,Nevada,Las Vegas
,  May,70.33,20.95,59.85,1.09,92.05,82.84,43.88,Nevada,Reno
,  October,79.45,30.78,67.53,9.08,99.11,83.02,57.59,Nevada,Reno
Q2,,67.60,18.57,59.16,1.10,88.16,80.30,43.47,,
,  December,77.87,28.12,67.89,12.19,98.82,82.46,56.70,Nevada,Las Vegas
,  June,67.60,23.33,63.92,9.82,94.63,80.30,51.05,Nevada,Reno
,  October,70.58,18.57,59.16,1.10,88.16,81.98,43.47,Nevada,Las Vegas
Q4,,70.38,17.73,56.75,0.72,89.58,80.32,36.70,,
,  April,73.19,22.87,60.57,2.87,94.13,83.45,50.79,Nevada,Las Vegas
,  December,70.38,17.73,56.75,0.72,89.58,80.32,36.70,Nevada,Reno
,  February,77.80,27.23,67.69,10.92,97.95,85.91,55.24,Nevada,Reno
