Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2020,Q4,Fire,Fatal,96.84
Female,2020,Q4,Drowning,Fatal,33.45
Female,2020,Q4,Traffic,Fatal,65.69
Female,2018,Q3,Fire,Fatal,97.27
Female,2018,Q3,Drowning,Fatal,71.14
Female,2018,Q3,Traffic,Fatal,74.76
Female,2022,Q4,Fire,Fatal,78.65
Female,2022,Q4,Drowning,Fatal,78.39
Female,2022,Q4,Traffic,Fatal,80.19
Female,2020,Q3,Fire,Fatal,17.03
Female,2020,Q3,Drowning,Fatal,14.39
Female,2020,Q3,Traffic,Fatal,19.03
Female,2018,Q4,Fire,Fatal,52.61
Female,2018,Q4,Drowning,Fatal,20.86
Female,2018,Q4,Traffic,Fatal,25.98
Female,2022,Q3,Fire,Fatal,90.04
Female,2022,Q3,Drowning,Fatal,93.08
Female,2022,Q3,Traffic,Fatal,94.49
