Characteristic,Intensity,2016_California_Los-Angeles,2016_Florida_Springfield,2016_Illinois_Chicago,2016_Illinois_Fort Lauderdale,2017_California_Champaign,2017_California_Tampa,2017_Florida_Berkeley,2017_Illinois_San Francisco
Maximum,,26.48,17.92,4.99,19.89,10.26,22.51,27.31,23.59
,  ,26.48,17.92,4.99,19.89,10.26,22.51,27.31,23.59
Humidity,,26.48,17.92,4.45,19.89,8.91,7.71,27.31,23.59
,  31-40,25.67,14.98,2.46,5.22,8.91,7.71,27.31,20.22
,  Medium,26.48,17.92,4.45,19.89,6.93,1.67,4.73,23.59
Temperature,,25.04,16.21,4.99,19.70,10.26,22.51,22.33,22.98
,  Low,5.33,16.21,4.99,19.70,10.26,22.51,12.32,22.98
,  Storm,25.04,13.77,1.10,17.31,7.92,0.56,22.33,13.63
Wind,,24.04,15.45,2.68,14.73,5.61,21.63,26.58,21.26
,  11-20,24.04,15.45,2.68,6.88,5.61,21.63,11.34,21.26
,  Calm,23.32,12.63,0.39,14.73,4.34,19.79,26.58,17.63
