Polluted element,Type of pollution,Georgia_Champaign_2015,Georgia_Port Huron_2020,Georgia_Washington_2017,Illinois_Columbus_2020,Illinois_Flint_2021,Illinois_Springfield_2017,Michigan_Albany_2015,Michigan_Chicago_2021,Michigan_Detroit_2017
Air,,-26.89,32.26,-87.26,-64.68,55.87,-12.51,52.19,-49.17,16.46
,  Industrial,-22.82,35.31,-79.16,-60.27,67.72,-5.77,-8.77,-46.60,25.10
,  Inferior Irrigation,-32.01,29.41,-94.73,-69.07,41.84,-17.04,75.75,-50.48,8.49
,  Light,-25.84,32.06,-87.90,-64.70,58.06,-14.71,89.60,-50.42,15.80
Soil,,-32.04,30.04,-92.58,-69.20,47.06,-15.92,79.57,-50.85,13.39
,  Chemical,-32.04,30.65,-94.65,-69.43,40.07,-15.08,78.14,-50.18,11.02
,  Industrial,-39.84,25.09,-98.02,-73.79,39.94,-22.56,68.65,-55.89,7.08
,  Thermal,-24.23,34.38,-85.07,-64.37,61.18,-10.11,91.91,-46.47,22.07
Water,,-28.66,30.59,-89.46,-67.55,49.39,-14.31,81.36,-48.28,16.08
,  Inorganic Fertilizers,-34.37,27.56,-96.60,-72.82,40.35,-18.87,69.64,-51.28,8.40
,  Noise,-24.66,34.96,-84.56,-61.59,64.62,-8.59,96.12,-45.07,24.07
,  Surface water,-26.94,29.24,-87.22,-68.23,43.19,-15.46,78.32,-48.49,15.76
Average,,-29.19,30.96,-89.77,-67.14,50.77,-14.24,71.04,-49.43,15.31
,  ,-29.19,30.96,-89.77,-67.14,50.77,-14.24,71.04,-49.43,15.31
