State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Minnesota,Hastings,Water,Surface water,-0.1
Minnesota,Hastings,Soil,Oxygen-depletion,-30.64
Minnesota,Hastings,Water,Solid Waste,99.7
Minnesota,Hastings,Soil,Inorganic Fertilizers,6.93
Georgia,Rochester,Water,Surface water,9.16
Georgia,Rochester,Soil,Oxygen-depletion,-22.48
Georgia,Rochester,Water,Solid Waste,-51.37
Georgia,Rochester,Soil,Inorganic Fertilizers,78.07
Minnesota,Albany,Water,Surface water,-15.92
Minnesota,Albany,Soil,Oxygen-depletion,-78.78
Minnesota,Albany,Water,Solid Waste,-47.29
Minnesota,Albany,Soil,Inorganic Fertilizers,-44.21
Georgia,Washington,Water,Surface water,-6.64
Georgia,Washington,Soil,Oxygen-depletion,-69.43
Georgia,Washington,Water,Solid Waste,-35.51
Georgia,Washington,Soil,Inorganic Fertilizers,-98.78
