Polluted element,Type of pollution,Massachusetts_Lenox_2022,Massachusetts_Portland_2018,Oregon_Cambridge_2018,Oregon_Redmond_2022,Oregon_Salem_2019
Air,Noise,89.77,-78.10,-28.14,19.95,-60.32
,Oxygen-depletion,-46.85,45.05,96.99,9.02,60.18
,Urban Activities,-35.59,54.07,-3.33,-94.69,-55.06
Soil,Chemical,84.39,-81.82,97.21,12.81,-65.26
,Light,-39.15,-75.87,-18.46,19.17,68.98
,Urban Activities,-54.91,43.59,-34.07,0.93,58.55
Water,Groundwater,88.85,-81.71,-31.52,16.33,-62.42
,Inferior Irrigation,-49.74,44.34,-33.50,3.59,59.31
,Thermal,92.98,-74.49,-11.75,25.54,71.81
Average,,14.42,-22.77,3.71,1.41,8.42
