Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,School,Q4,November,11.17
Service,School,Q2,October,12.56
Service,School,Q4,December,24.03
Service,School,Q2,May,25.93
Service,School,Q4,June,27.21
Service,School,Q2,November,27.71
Residential,Administration,Q4,November,30.57
Residential,Administration,Q2,October,33.75
Residential,Administration,Q4,December,34.13
Residential,Administration,Q2,May,44.26
Residential,Administration,Q4,June,48.35
Residential,Administration,Q2,November,51.6
Service,Apartment,Q4,November,54.03
Service,Apartment,Q2,October,61.69
Service,Apartment,Q4,December,65.27
Service,Apartment,Q2,May,73.78
Service,Apartment,Q4,June,75.75
Service,Apartment,Q2,November,75.24
Residential,House,Q4,November,79.49
Residential,House,Q2,October,81.98
Residential,House,Q4,December,82.75
Residential,House,Q2,May,81.87
Residential,House,Q4,June,88.35
Residential,House,Q2,November,94.17
