Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2015,Q4,Drowning,Slight,65.22
Female,2015,Q4,Fire,Fatal,71.55
Female,2015,Q4,Traffic,Serious,72.19
Female,2017,Q4,Drowning,Slight,40.63
Female,2017,Q4,Fire,Fatal,77.05
Female,2017,Q4,Traffic,Serious,13.65
Female,2018,Q4,Drowning,Slight,16.26
Female,2018,Q4,Fire,Fatal,48.35
Female,2018,Q4,Traffic,Serious,85.99
Female,2015,Q4,Drowning,Slight,86.59
Female,2015,Q4,Fire,Fatal,54.39
Female,2015,Q4,Traffic,Serious,58.68
Female,2017,Q4,Drowning,Slight,92.35
Female,2017,Q4,Fire,Fatal,29.35
Female,2017,Q4,Traffic,Serious,94.8
