Characteristic,Intensity,2021_Maryland_Aberdeen,2021_Maryland_Port Huron,2022_Michigan_Columbia,2022_Michigan_Flint,Maximum
Humidity,,8.45,23.86,16.10,23.51,23.86
,  11-20,8.45,23.86,16.10,5.53,23.86
,  Breeze,3.70,21.77,9.34,23.51,23.51
,  High,6.53,23.67,15.78,11.33,23.67
Temperature,,7.26,24.48,16.42,25.27,25.27
,  11-20,1.29,19.44,5.05,25.27,25.27
,  Calm,4.75,22.29,6.41,22.32,22.32
,  Low,7.26,24.48,16.42,13.43,24.48
Wind,,6.96,23.47,17.16,26.02,26.02
,  21-30,2.54,15.07,11.81,23.85,23.85
,  Medium,6.96,22.74,17.16,17.31,22.74
,  Storm,4.25,23.47,11.65,26.02,26.02
