Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,House,Q1,March,0.3
Residential,House,Q2,February,2.88
Residential,House,Q3,January,3.36
Residential,House,Q1,May,4.0
Residential,House,Q2,June,3.44
Residential,House,Q3,April,4.64
Residential,House,Q1,September,7.29
Residential,House,Q2,August,7.92
Residential,House,Q3,July,11.3
Production,Apartment,Q1,March,11.41
Production,Apartment,Q2,February,15.75
Production,Apartment,Q3,January,15.68
Production,Apartment,Q1,May,17.34
Production,Apartment,Q2,June,24.67
Production,Apartment,Q3,April,25.37
Production,Apartment,Q1,September,31.65
Production,Apartment,Q2,August,36.41
Production,Apartment,Q3,July,38.28
Residential,Hotel,Q1,March,39.76
Residential,Hotel,Q2,February,40.44
Residential,Hotel,Q3,January,38.86
Residential,Hotel,Q1,May,47.72
Residential,Hotel,Q2,June,47.49
Residential,Hotel,Q3,April,50.74
Residential,Hotel,Q1,September,53.12
Residential,Hotel,Q2,August,58.45
Residential,Hotel,Q3,July,62.72
Production,Factory,Q1,March,66.66
Production,Factory,Q2,February,69.94
Production,Factory,Q3,January,70.54
Production,Factory,Q1,May,71.78
Production,Factory,Q2,June,72.62
Production,Factory,Q3,April,75.01
Production,Factory,Q1,September,75.34
Production,Factory,Q2,August,77.56
Production,Factory,Q3,July,78.49
Residential,Workshop,Q1,March,82.8
Residential,Workshop,Q2,February,84.58
Residential,Workshop,Q3,January,87.95
Residential,Workshop,Q1,May,87.8
Residential,Workshop,Q2,June,89.45
Residential,Workshop,Q3,April,90.2
Residential,Workshop,Q1,September,90.94
Residential,Workshop,Q2,August,94.75
Residential,Workshop,Q3,July,97.5
