Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,Hospital,Q2,May,Michigan,Port Huron,1.24
Service,Hospital,Q3,June,Michigan,Port Huron,2.95
Service,Hospital,Q4,April,Michigan,Port Huron,3.05
Service,Hospital,Q2,July,Michigan,Port Huron,5.81
Service,Hospital,Q3,September,Michigan,Port Huron,7.01
Service,Hospital,Q4,August,Michigan,Port Huron,8.42
Service,Hospital,Q2,November,Michigan,Port Huron,9.55
Service,Hospital,Q3,December,Michigan,Port Huron,23.18
Service,Hospital,Q4,October,Michigan,Port Huron,26.26
Production,Administration,Q2,May,Michigan,Port Huron,27.25
Production,Administration,Q3,June,Michigan,Port Huron,26.69
Production,Administration,Q4,April,Michigan,Port Huron,31.04
Production,Administration,Q2,July,Michigan,Port Huron,33.67
Production,Administration,Q3,September,Michigan,Port Huron,35.37
Production,Administration,Q4,August,Michigan,Port Huron,36.81
Production,Administration,Q2,November,Michigan,Port Huron,37.6
Production,Administration,Q3,December,Michigan,Port Huron,42.25
Production,Administration,Q4,October,Michigan,Port Huron,44.38
Service,Factory,Q2,May,Michigan,Port Huron,48.61
Service,Factory,Q3,June,Michigan,Port Huron,49.71
Service,Factory,Q4,April,Michigan,Port Huron,51.52
Service,Factory,Q2,July,Michigan,Port Huron,53.2
Service,Factory,Q3,September,Michigan,Port Huron,59.14
Service,Factory,Q4,August,Michigan,Port Huron,61.27
Service,Factory,Q2,November,Michigan,Port Huron,64.56
Service,Factory,Q3,December,Michigan,Port Huron,65.23
Service,Factory,Q4,October,Michigan,Port Huron,66.29
Production,Workshop,Q2,May,Michigan,Port Huron,64.24
Production,Workshop,Q3,June,Michigan,Port Huron,65.04
Production,Workshop,Q4,April,Michigan,Port Huron,70.94
Production,Workshop,Q2,July,Michigan,Port Huron,71.31
Production,Workshop,Q3,September,Michigan,Port Huron,73.5
Production,Workshop,Q4,August,Michigan,Port Huron,74.17
Production,Workshop,Q2,November,Michigan,Port Huron,82.27
Production,Workshop,Q3,December,Michigan,Port Huron,87.53
Production,Workshop,Q4,October,Michigan,Port Huron,92.52
