Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Production,Factory,Q3,July,Michigan,Detroit,1.53
Production,Factory,Q4,August,Oregon,Flint,4.27
Production,Factory,Q3,September,Michigan,Redmond,7.69
Production,Factory,Q4,October,Oregon,Salem,8.3
Production,Factory,Q3,December,Michigan,Detroit,13.29
Production,Factory,Q4,July,Oregon,Flint,15.88
Residential,Workshop,Q3,July,Michigan,Detroit,18.45
Residential,Workshop,Q4,August,Oregon,Flint,20.69
Residential,Workshop,Q3,September,Michigan,Redmond,26.61
Residential,Workshop,Q4,October,Oregon,Salem,27.87
Residential,Workshop,Q3,December,Michigan,Detroit,28.67
Residential,Workshop,Q4,July,Oregon,Flint,30.18
Service,Apartment,Q3,July,Michigan,Detroit,31.54
Service,Apartment,Q4,August,Oregon,Flint,32.05
Service,Apartment,Q3,September,Michigan,Redmond,37.02
Service,Apartment,Q4,October,Oregon,Salem,40.94
Service,Apartment,Q3,December,Michigan,Detroit,41.74
Service,Apartment,Q4,July,Oregon,Flint,41.89
Production,House,Q3,July,Michigan,Detroit,44.95
Production,House,Q4,August,Oregon,Flint,47.89
Production,House,Q3,September,Michigan,Redmond,50.13
Production,House,Q4,October,Oregon,Salem,51.75
Production,House,Q3,December,Michigan,Detroit,56.89
Production,House,Q4,July,Oregon,Flint,58.13
Residential,Library,Q3,July,Michigan,Detroit,64.21
Residential,Library,Q4,August,Oregon,Flint,0.16
Residential,Library,Q3,September,Michigan,Redmond,68.35
Residential,Library,Q4,October,Oregon,Salem,71.6
Residential,Library,Q3,December,Michigan,Detroit,73.69
Residential,Library,Q4,July,Oregon,Flint,80.35
Service,Administration,Q3,July,Michigan,Detroit,83.99
Service,Administration,Q4,August,Oregon,Flint,87.32
Service,Administration,Q3,September,Michigan,Redmond,89.2
Service,Administration,Q4,October,Oregon,Salem,90.81
Service,Administration,Q3,December,Michigan,Detroit,90.1
Service,Administration,Q4,July,Oregon,Flint,92.64
Production,Hospital,Q3,July,Michigan,Detroit,93.94
Production,Hospital,Q4,August,Oregon,Flint,94.41
Production,Hospital,Q3,September,Michigan,Redmond,95.57
Production,Hospital,Q4,October,Oregon,Salem,96.05
Production,Hospital,Q3,December,Michigan,Detroit,96.21
Production,Hospital,Q4,July,Oregon,Flint,98.85
