Characteristic,Intensity,2015_Massachusetts_Cambridge,2015_Massachusetts_Flint,2015_Massachusetts_Rochester,2016_Michigan_Detroit,2016_Michigan_Lenox,2017_Minnesota_Minneapolis,2017_Minnesota_Port Huron,Maximum
Humidity,,2.98,23.50,22.31,25.47,9.36,23.91,17.03,25.47
,  Breeze,1.89,18.99,18.18,24.01,7.46,23.91,10.22,24.01
,  High,2.98,21.14,21.13,25.47,4.95,12.89,15.26,25.47
,  Medium,2.25,23.50,22.31,22.21,9.36,17.89,17.03,23.50
Wind,,4.52,22.96,21.19,26.42,6.12,25.09,16.80,26.42
,  Calm,2.93,20.42,20.67,24.21,3.21,3.43,13.97,24.21
,  Low,4.52,22.96,21.19,26.42,4.18,2.88,16.80,26.42
,  Storm,0.71,16.40,17.61,23.01,6.12,25.09,12.07,25.09
Maximum,,4.52,23.50,22.31,26.42,9.36,25.09,17.03,26.42
,  ,4.52,23.50,22.31,26.42,9.36,25.09,17.03,26.42
