Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,School,Q4,December,0.29
Service,School,Q2,November,1.19
Service,School,Q3,June,6.62
Service,School,Q4,April,7.21
Service,School,Q2,May,9.06
Service,School,Q3,July,10.89
Service,School,Q4,September,10.5
Service,School,Q2,August,14.68
Service,School,Q3,December,16.34
Residential,Administration,Q4,December,17.58
Residential,Administration,Q2,November,17.35
Residential,Administration,Q3,June,23.74
Residential,Administration,Q4,April,23.37
Residential,Administration,Q2,May,25.0
Residential,Administration,Q3,July,25.68
Residential,Administration,Q4,September,27.32
Residential,Administration,Q2,August,23.69
Residential,Administration,Q3,December,29.35
Production,Hospital,Q4,December,29.12
Production,Hospital,Q2,November,31.48
Production,Hospital,Q3,June,32.68
Production,Hospital,Q4,April,32.46
Production,Hospital,Q2,May,34.95
Production,Hospital,Q3,July,34.43
Production,Hospital,Q4,September,35.42
Production,Hospital,Q2,August,37.75
Production,Hospital,Q3,December,38.4
Service,Hotel,Q4,December,34.15
Service,Hotel,Q2,November,39.42
Service,Hotel,Q3,June,41.73
Service,Hotel,Q4,April,42.29
Service,Hotel,Q2,May,45.14
Service,Hotel,Q3,July,48.34
Service,Hotel,Q4,September,49.85
Service,Hotel,Q2,August,51.53
Service,Hotel,Q3,December,53.78
Residential,Apartment,Q4,December,58.75
Residential,Apartment,Q2,November,59.06
Residential,Apartment,Q3,June,60.02
Residential,Apartment,Q4,April,58.12
Residential,Apartment,Q2,May,58.67
Residential,Apartment,Q3,July,63.0
Residential,Apartment,Q4,September,63.79
Residential,Apartment,Q2,August,67.39
Residential,Apartment,Q3,December,70.18
Production,Factory,Q4,December,71.88
Production,Factory,Q2,November,73.16
Production,Factory,Q3,June,76.3
Production,Factory,Q4,April,78.62
Production,Factory,Q2,May,80.35
Production,Factory,Q3,July,80.33
Production,Factory,Q4,September,80.11
Production,Factory,Q2,August,81.99
Production,Factory,Q3,December,84.43
Service,Workshop,Q4,December,85.13
Service,Workshop,Q2,November,86.28
Service,Workshop,Q3,June,86.36
Service,Workshop,Q4,April,80.02
Service,Workshop,Q2,May,89.09
Service,Workshop,Q3,July,90.97
Service,Workshop,Q4,September,90.84
Service,Workshop,Q2,August,92.82
Service,Workshop,Q3,December,98.72
