Quarter,Month,Culture_Hotel,Culture_Museum,Culture_Theatre,Residential_Apartment,Residential_Concert,Minimum,State,City
Q2,,91.07,10.65,50.70,78.32,33.14,10.65,,
,  July,99.88,20.03,71.68,88.56,46.82,20.03,Minnesota,Champaign
,  May,91.09,16.59,57.66,85.04,42.76,16.59,Illinois,Champaign
,  October,91.07,10.65,50.70,78.32,33.14,10.65,Minnesota,Champaign
Q3,,89.07,7.94,48.42,75.68,22.22,7.94,,
,  April,96.17,17.49,63.87,86.80,43.47,17.49,Minnesota,Hastings
,  August,89.07,7.94,48.42,75.68,22.22,7.94,Minnesota,Hastings
,  November,93.78,9.66,51.39,79.89,34.35,9.66,Illinois,Hastings
Q4,,91.13,9.56,49.54,77.00,23.54,9.56,,
,  August,98.51,18.62,69.18,87.12,46.01,18.62,Illinois,Minneapolis
,  July,91.13,9.56,49.54,77.00,23.54,9.56,Illinois,Minneapolis
,  June,94.32,11.39,51.95,83.48,35.68,11.39,Minnesota,Minneapolis
Minimum,,89.07,7.94,48.42,75.68,22.22,7.94,,
,  ,89.07,7.94,48.42,75.68,22.22,7.94,,
