Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2020,Q3,Fire,Fatal,97.78
Female,2020,Q3,Traffic,Fatal,34.82
Female,2020,Q3,Drowning,Fatal,33.22
Female,2019,Q2,Fire,Fatal,36.23
Female,2019,Q2,Traffic,Fatal,35.7
Female,2019,Q2,Drowning,Fatal,98.94
Female,2020,Q3,Fire,Fatal,72.69
Female,2020,Q3,Traffic,Fatal,75.47
Female,2020,Q3,Drowning,Fatal,45.66
Female,2019,Q2,Fire,Fatal,47.58
Female,2019,Q2,Traffic,Fatal,52.6
Female,2019,Q2,Drowning,Fatal,22.61
Female,2020,Q3,Fire,Fatal,87.89
Female,2020,Q3,Traffic,Fatal,57.69
Female,2020,Q3,Drowning,Fatal,91.39
