Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Concert,Q2,June,0.9
Culture,Concert,Q3,May,4.05
Culture,Concert,Q2,April,6.11
Culture,Concert,Q3,July,9.25
Culture,Concert,Q2,September,12.75
Culture,Concert,Q3,August,15.4
Production,Theatre,Q2,June,19.51
Production,Theatre,Q3,May,22.49
Production,Theatre,Q2,April,23.46
Production,Theatre,Q3,July,28.43
Production,Theatre,Q2,September,29.4
Production,Theatre,Q3,August,31.61
Residential,Museum,Q2,June,34.36
Residential,Museum,Q3,May,36.05
Residential,Museum,Q2,April,39.01
Residential,Museum,Q3,July,39.61
Residential,Museum,Q2,September,42.09
Residential,Museum,Q3,August,47.37
Culture,Workshop,Q2,June,51.17
Culture,Workshop,Q3,May,52.4
Culture,Workshop,Q2,April,54.77
Culture,Workshop,Q3,July,57.85
Culture,Workshop,Q2,September,58.23
Culture,Workshop,Q3,August,59.75
Production,Factory,Q2,June,57.58
Production,Factory,Q3,May,61.9
Production,Factory,Q2,April,62.13
Production,Factory,Q3,July,64.26
Production,Factory,Q2,September,69.18
Production,Factory,Q3,August,71.91
Residential,Hotel,Q2,June,72.17
Residential,Hotel,Q3,May,73.59
Residential,Hotel,Q2,April,76.64
Residential,Hotel,Q3,July,77.2
Residential,Hotel,Q2,September,80.82
Residential,Hotel,Q3,August,83.93
Culture,House,Q2,June,85.33
Culture,House,Q3,May,85.02
Culture,House,Q2,April,90.99
Culture,House,Q3,July,91.53
Culture,House,Q2,September,91.37
Culture,House,Q3,August,93.31
Production,Apartment,Q2,June,93.91
Production,Apartment,Q3,May,95.16
Production,Apartment,Q2,April,95.0
Production,Apartment,Q3,July,96.24
Production,Apartment,Q2,September,98.11
Production,Apartment,Q3,August,99.53
